+---------------------------------------------------------------------+
|  Log file: pa.characterize.log                                      |
|  Compiler version: 9.13.2                                           |
|  Created on: Wed Oct 23 15:06:53 2024                               |
|  Run ID: a3bd6f1aa3ef4038                                           |
+---------------------------------------------------------------------+

Program: flep_process.p4

--------------------------------------------------------------------------------------------------------------------------------------------------------
| Container |  Gress  |                          Name                          | Class |  | P | 0 | 1  | 2 | 3 | 4  | 5 | 6 | 7 | 8 | 9 | 10 | 11 | D |
--------------------------------------------------------------------------------------------------------------------------------------------------------
|    phv0   | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:0]  | ingress |       ig_intr_md_from_prsr.global_tstamp[47:16]        | imeta |  | W | ~ | R  | R |   |    |   |   |   |   |   |    |    |   |
|    phv1   | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:0]  | ingress |             hdr.fleptopo.sendtstamp[47:16]             |  pkt  |  | W | W | W  | R | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|    phv2   | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:0]  | ingress |               hdr.topoinfo.latency[31:0]               |  pkt  |  |   |   |    | W |   |    |   |   |   |   |   |    |    |   |
|    phv3   | ingress |                                                        |   SH  |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [24:16] | ingress |              ig_intr_md.ingress_port[8:0]              | imeta |  | W | R | ~  | R |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  | ingress |                hdr.topoinfo.label[15:0]                |  pkt  |  |   |   | W  |   |   |    |   |   |   |   |   |    |    |   |
|    phv4   | ingress |                                                        |   SH  |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:16] | ingress |             hdr.fleptopo.replylabel[15:0]              |  pkt  |  | W | W | RW | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   [15:0]  | ingress |              hdr.fleptopo.replyport[15:0]              |  pkt  |  | W | W | W  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|    phv5   | ingress |                                                        |   SH  |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:24] | ingress |                  meta.portindex[7:0]                   |  meta |  |   |   |    |   | W |    |   |   |   |   |   |    |    |   |
|   [23:16] | ingress |               meta.is_verify_start[7:0]                |  meta |  |   | W |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  | ingress |                hdr.topoinfo.port[15:0]                 |  pkt  |  |   |   |    |   | R |    |   |   |   |   |   |    |    |   |
|    phv6   | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [8:0]  | ingress |        ig_intr_md_for_tm.ucast_egress_port[8:0]        | imeta |  |   | W | ~  | W | ~ | W  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|    phv7   | ingress |                                                        |   SH  |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:16] | ingress |             hdr.fleptopo.sourcelabel[15:0]             |  pkt  |  | W | W | W  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   [15:0]  | ingress |             hdr.fleptopo.sourceport[15:0]              |  pkt  |  | W | W | W  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|    phv8   | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:0]  | ingress |                   hdr.flep.key[31:0]                   |  pkt  |  | W | R | ~  | ~ | ~ | ~  | R | ~ | ~ | ~ | ~ | ~  | ~  | R |
|    phv9   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv10   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv11   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv12   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv13   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv14   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv15   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv16   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv17   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv18   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv19   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv20   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv21   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv22   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv23   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv24   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv25   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv26   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv27   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv28   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv29   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv30   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv31   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv32   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv33   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv34   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv35   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv36   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv37   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv38   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv39   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv40   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv41   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv42   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv43   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv44   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv45   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv46   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv47   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv48   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv49   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv50   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv51   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv52   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv53   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv54   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv55   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv56   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv57   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv58   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv59   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv60   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv61   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv62   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv63   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|           |         |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv64   | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [7:0]  | ingress |               hdr.flep.label_depth[7:0]                |  pkt  |  | W | ~ | ~  | ~ | ~ | RW | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv65   | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [2:0]  | ingress |         ig_intr_md_for_dprsr.mirror_type[2:0]          | imeta |  |   |   |    |   |   |    |   |   |   |   |   |    |    | R |
|   phv66   | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [2:0]  | ingress |           ig_intr_md_for_dprsr.drop_ctl[2:0]           | imeta |  |   |   | W  | ~ | ~ | ~  | W | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv67   | ingress |                                                        |   SH  |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [7:4]  | ingress |             hdr.fleptopo.messagetype[3:0]              |  pkt  |  | W | W | W  | R | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|    [3:0]  | ingress |                hdr.fleptopo.option[3:0]                |  pkt  |  | W | W | W  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv68   | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [7:0]  | ingress |                hdr.flep.key_index[7:0]                 |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | R | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv69   | ingress |                                                        |   SH  |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [3:3]  | ingress |                hdr.fleptopo.$valid[0:0]                |  pov  |  | W | W | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|    [2:2]  | ingress |                hdr.flabels.$valid[0:0]                 |  pov  |  | W | ~ | ~  | ~ | ~ | W  | W | ~ | ~ | ~ | ~ | ~  | ~  | R |
|    [1:1]  | ingress |                  hdr.flep.$valid[0:0]                  |  pov  |  | W | ~ | ~  | ~ | ~ | ~  | W | ~ | ~ | ~ | ~ | ~  | ~  | R |
|    [0:0]  | ingress |                hdr.ethernet.$valid[0:0]                |  pov  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv70   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv71   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv72   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv73   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv74   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv75   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv76   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv77   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv78   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv79   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv80   |  egress |                                                        | OL,SH |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [3:3]  |  egress |      hdr.min_parse_depth_padding_0[0].$valid[0:0]      |  pov  |  |   |   |    |   |   |    |   |   |   |   |   |    |    | R |
|    [3:0]  |  egress |      hdr.min_parse_depth_padding_0.$stkvalid[3:0]      |  meta |  | W |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [2:2]  |  egress |      hdr.min_parse_depth_padding_0[1].$valid[0:0]      |  pov  |  |   |   |    |   |   |    |   |   |   |   |   |    |    | R |
|    [1:1]  |  egress |      hdr.min_parse_depth_padding_0[2].$valid[0:0]      |  pov  |  |   |   |    |   |   |    |   |   |   |   |   |    |    | R |
|    [0:0]  |  egress |      hdr.min_parse_depth_padding_0[3].$valid[0:0]      |  meta |  |   |   |    |   |   |    |   |   |   |   |   |    |    | R |
|   phv81   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv82   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv83   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv84   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv85   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv86   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv87   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv88   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv89   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv90   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv91   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv92   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv93   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv94   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv95   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv96   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv97   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv98   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv99   |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv100  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv101  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv102  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv103  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv104  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv105  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv106  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv107  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv108  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv109  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv110  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv111  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv112  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv113  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv114  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv115  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv116  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv117  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv118  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv119  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv120  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv121  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv122  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv123  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv124  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv125  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv126  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv127  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
